temperature,,TEMP_PCT_OUTER,TEMP_PCT_OUTER,TEMP_PCT_OUTER,TEMP_PCT_OUTER,TEMP_PCT_OUTER,TEMP_PCT_OUTER
percentile,,1.0,2.5,5.0,95.0,97.5,99.0
ws,percentile or absolute,,,,,,
WS_PCT_OUTER,1.0,47.39776951672863,47.39776951672863,47.39776951672863,7.24907063197026,4.83271375464684,2.41635687732342
WS_PCT_OUTER,2.5,46.550416982562545,46.550416982562545,46.550416982562545,7.050796057619409,4.169825625473845,2.1986353297952994
WS_PCT_OUTER,5.0,44.50757575757576,44.50757575757576,44.50757575757576,6.515151515151516,3.93939393939394,1.7424242424242427
WS_PCT_OUTER,95.0,50.3419452887538,50.3419452887538,50.3419452887538,1.2537993920972645,0.5699088145896656,0.22796352583586624
WS_PCT_OUTER,97.5,51.13636363636363,51.13636363636363,51.13636363636363,1.2121212121212122,0.8333333333333334,0.30303030303030304
WS_PCT_OUTER,99.0,48.960302457466916,48.960302457466916,48.960302457466916,0.7561436672967863,0.18903591682419657,0.0
WS_ABS_SMALLER_THAN,5.0,47.42822966507177,47.42822966507177,47.42822966507177,5.211323763955343,2.6794258373205744,1.1961722488038278
WS_ABS_SMALLER_THAN,10.0,48.09674861221253,48.09674861221253,48.09674861221253,2.061855670103093,1.070578905630452,0.43616177636796194
WS_ABS_LARGER_THAN,15.0,47.75413711583924,47.75413711583924,47.75413711583924,7.092198581560282,4.491725768321513,2.1276595744680855
WS_ABS_LARGER_THAN,20.0,34.48275862068966,34.48275862068966,34.48275862068966,20.689655172413794,17.24137931034483,10.344827586206897
